"INPUTCUBEID","FILTER","ACCOUNTING_ENTRY","ADJUSTMENT","COMP_METHOD","COUNTERPART_AREA","COUNTERPART_SECTOR","CURRENCY_DENOM","ENTITYID","FLOW_STOCK_ENTRY","FREQ","FUNCTIONAL_CAT","INSTR_ASSET","INT_ACC_ITEM","MATURITY","OBS_DATE","OBS_STATUS","REF_AREA","REF_SECTOR","RESIDENCY","UNIT_MEASURE","VALUATION","CBMNACE","FURTHER_CLASSIFICATION","NAME","OBS_VALUE","STARTDATE","ENDDATE"
"TANFC_007_UNI_BR_GR","TYPINS IN (''52250','52250_1','52240','52240_1','52260','52260_1') AND CLOSING_POSITION <> 0","'A'","'N'","'N'","HOLD(RESCOU)","HOLD(SECCOUNSO)","'_T'","HOLD(ENTITYID)","'LE'","'M'","'P'","CONV('INSTRASSET1', TYPINS)","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_007_UNI_BR_GR","TYPINS IN (''52250','52250_1','52240','52240_1','52260','52260_1') AND EXCHANGE_RATE_FLOW <> 0","'A'","'N'","'N'","HOLD(RESCOU)","HOLD(SECCOUNSO)","'_T'","HOLD(ENTITYID)","'K7A'","'M'","'P'","CONV('INSTRASSET1', TYPINS)","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_007_UNI_BR_GR","TYPINS IN (''52250','52250_1','52240','52240_1','52260','52260_1') AND MARKET_PRICE <> 0","'A'","'N'","'N'","HOLD(RESCOU)","HOLD(SECCOUNSO)","'_T'","HOLD(ENTITYID)","'K7B'","'M'","'P'","CONV('INSTRASSET1', TYPINS)","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_007_UNI_BR_GR","TYPINS IN (''52250','52250_1','52240','52240_1','52260','52260_1') AND OTHER_FLOW <> 0","'A'","'N'","'N'","HOLD(RESCOU)","HOLD(SECCOUNSO)","'_T'","HOLD(ENTITYID)","'KA'","'M'","'P'","CONV('INSTRASSET1', TYPINS)","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_007_UNI_BR_GR","TYPINS IN (''52250','52250_1','52240','52240_1','52260','52260_1') AND TRANSACTIONS_FLOW <> 0","'A'","'N'","'N'","HOLD(RESCOU)","HOLD(SECCOUNSO)","'_T'","HOLD(ENTITYID)","'T'","'M'","'P'","CONV('INSTRASSET1', TYPINS)","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52670','52670_1','52680','52680_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1') AND EXCHANGE_RATE_FLOW <> 0 AND ENTITYID NOT IN ('39398','39391','54762','34747','53639','36243','78175','5853','52697','107654','65322','65337','136513','139802','76228','28338','33482','109201','105741','37893','37802','73705','73708','57330','113037','75972','116488','66318','150122','170287','164935','119715','109891','173090','105658','176805','162611','181811')","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP27', TYPINS)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52670','52670_1','52680','52680_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1') AND MARKET_PRICE <> 0 AND ENTITYID NOT IN ('39398','39391','54762','34747','53639','36243','78175','5853','52697','107654','65322','65337','136513','139802','76228','28338','33482','109201','105741','37893','37802','73705','73708','57330','113037','75972','116488','66318','150122','170287','164935','119715','109891','173090','105658','176805','162611','181811')","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP27', TYPINS)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52670','52670_1','52680','52680_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1') AND OTHER_FLOW <> 0 AND ENTITYID NOT IN ('39398','39391','54762','34747','53639','36243','78175','5853','52697','107654','65322','65337','136513','139802','76228','28338','33482','109201','105741','37893','37802','73705','73708','57330','113037','75972','116488','66318','150122','170287','164935','119715','109891','173090','105658','176805','162611','181811')","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP27', TYPINS)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52670','52670_1','52680','52680_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1') AND CLOSING_POSITION <> 0 AND ENTITYID NOT IN ('39398','39391','54762','34747','53639','36243','78175','5853','52697','107654','65322','65337','136513','139802','76228','28338','33482','109201','105741','37893','37802','73705','73708','57330','113037','75972','116488','66318','150122','170287','164935','119715','109891','173090','105658','176805','162611','181811')","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP27', TYPINS)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52670','52670_1','52680','52680_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1') AND TRANSACTIONS_FLOW <> 0 AND ENTITYID NOT IN ('39398','39391','54762','34747','53639','36243','78175','5853','52697','107654','65322','65337','136513','139802','76228','28338','33482','109201','105741','37893','37802','73705','73708','57330','113037','75972','116488','66318','150122','170287','164935','119715','109891','173090','105658','176805','162611','181811')","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP27', TYPINS)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'M'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52690','52690_1','52720','52720_1','52750','52750_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP27', TYPINS)","'F512'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52690','52690_1','52720','52720_1','52750','52750_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP27', TYPINS)","'F512'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52690','52690_1','52720','52720_1','52750','52750_1') AND OTHER_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP27', TYPINS)","'F512'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52690','52690_1','52720','52720_1','52750','52750_1') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP27', TYPINS)","'F512'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52690','52690_1','52720','52720_1','52750','52750_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP27', TYPINS)","'F512'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1','52760','52760_1','52770','52770_1','52700','52700_1','52710','52710_1','52730','52730_1','52740','52740_1','52720','52720_1','52750','52750_1','52780','52780_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP27', TYPINS)","'F5A'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52730','52730_1','52740','52740_1','52750','52750_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP28', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52730','52730_1','52740','52740_1','52750','52750_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP28', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52730','52730_1','52740','52740_1','52750','52750_1') AND OTHER_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP28', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52730','52730_1','52740','52740_1','52750','52750_1') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP28', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52730','52730_1','52740','52740_1','52750','52750_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP28', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP29', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP29', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1') AND OTHER_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP29', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP29', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP29', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP30', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP30', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND OTHER_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP30', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP30', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP30', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52670','52670_1','52680','52680_1', '52690','52690_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP30', TYPINS)","'F5A'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52760','52760_1','52770','52770_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP31', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52760','52760_1','52770','52770_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP31', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52760','52760_1','52770','52770_1') AND OTHER_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'KA'","'M'","CONV('RTYP31', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(OTHER_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52760','52760_1','52770','52770_1') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'LE'","'M'","CONV('RTYP31', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52780','52780_1','52760','52760_1','52770','52770_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP31', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52760','52760_1','52770','52770_1','52780','52780_1') AND TRANSACTIONS_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'T'","'M'","CONV('RTYP31', TYPINS)","'F5A'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(TRANSACTIONS_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1','52730','52730_1','52740','52740_1','52750','52750_1') AND EXCHANGE_RATE_FLOW <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7A'","'M'","CONV('RTYP32', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"TANFC_009_UNI_BR_GR","TYPINS IN ('52700','52700_1','52710','52710_1','52720','52720_1','52730','52730_1','52740','52740_1','52750','52750_1') AND MARKET_PRICE <> 0","'L'","'N'","'N'","HOLD(RESCOU)","'S1'","'_T'","HOLD(ENTITYID)","'K7B'","'M'","CONV('RTYP32', TYPINS)","'F5'","'FA'","'_Z'","HOLD(OBS_DATE)","HOLD(T_OBSTYPE)","'MT'","HOLD(NSOSECCHAR)","CONV('BOP_RESIDENCY',RESIDENCY)","'EUR'","'_X'","HOLD(NACE2NSO)","'CBMNBR'","HOLD(NAME)","HOLD(MARKET_PRICE)","1900-01-01","9999-12-31"
